spm_person_no,full_name,sex,dob,national_id,passport,mobile,email,updated_at
P6662676953,Mohammed bin Ahmed Al Balushi,M,1978-11-06,NID5120533473,,,,2025-10-22T05:51:25.746539
P7844654576,Ali bin Salem Al Balushi,M,1981-10-16,NID8039455878,,971546879791.0,,2025-10-22T05:51:25.746553
P2320951570,Aisha bint Fahad Al Ketbi,F,1951-06-15,NID3761316087,,,,2025-10-22T05:51:25.746565
P0862335281,Nasser bin Sultan Al Nahyan,M,2018-08-05,NID9750296639,,,,2025-10-22T05:51:25.746580
P0540255756,Fatima bint Fahad Al Qasimi,F,1965-07-07,NID6120168802,PA96337154,,,2025-10-22T05:51:25.746669
P3140966033,Khalid bin Mohammed Al Ketbi,M,1981-06-12,NID1038147369,,,,2025-10-22T05:51:25.746683
P3092708156,Hind bint Hamad Al Ketbi,F,1986-11-23,NID1920521033,,,,2025-10-22T05:51:25.746695
P3070975095,Rashid bin Hamad Al Maktoum,M,1982-01-28,NID0445386629,,971548222509.0,,2025-10-22T05:51:25.746713
P8571162410,Maryam bint Hassan Al Mazrouei,F,2021-12-06,NID4484421565,,971574110298.0,,2025-10-22T05:51:25.746730
P8014750644,Sultan bin Khalid Al Falasi,M,1970-04-02,NID8944583752,PA58017991,971586369105.0,,2025-10-22T05:51:25.746746
P2541873870,Amna bint Ali Al Nuaimi,F,1985-05-13,NID1826222925,,971592148000.0,,2025-10-22T05:51:25.746759
P0764946594,Fahad bin Hassan Al Nahyan,M,1986-09-18,NID0303838769,PA79832772,971528483150.0,,2025-10-22T05:51:25.746779
P3890233203,Sara bint Saeed Al Nahyan,F,2014-04-07,NID2080415171,PA70920376,,,2025-10-22T05:51:25.746797
P4852989574,Fahad bin Ali Al Maktoum,M,1983-04-25,,,971538331225.0,,2025-10-22T05:51:25.746808
P4246021019,Maha bint Hassan Al Ketbi,F,1954-08-07,NID3224218192,,971571368503.0,,2025-10-22T05:51:25.746825
P6412763573,Aisha bint Fahad Al Falasi,F,1979-12-20,NID8331869015,,971531169579.0,,2025-10-22T05:51:25.746844
P4990378133,Khalid bin Salem Al Mansoori,M,1968-02-08,NID3539337375,,971551045265.0,,2025-10-22T05:51:25.746858
P2006323432,Reem bint Sultan Al Falasi,F,1944-02-19,NID6310819976,PA96139113,971548410863.0,,2025-10-22T05:51:25.746875
P5298894304,Noura bint Hamad Al Mazrouei,F,2002-01-17,NID9594631464,,,,2025-10-22T05:51:25.746895
P4070389921,Maha bint Fahad Al Nahyan,F,2017-05-12,,,,,2025-10-22T05:51:25.746905
P1692011523,Rashid bin Hassan Al Marri,M,2000-07-15,,,971581035465.0,,2025-10-22T05:51:25.746917
P9833134246,Latifa bint Sultan Al Mansoori,F,1997-02-11,NID4755103959,PA47206948,,,2025-10-22T05:51:25.746935
P2917576870,Hassan bin Fahad Al Qasimi,M,1996-11-01,NID6031925878,PA28878842,971547465215.0,,2025-10-22T05:51:25.746951
P6832712681,Latifa bint Rashid Al Ketbi,F,1971-06-07,,,,,2025-10-22T05:51:25.746960
P0955725844,Fahad bin Khalid Al Mansoori,M,1958-05-03,NID6138043831,,,,2025-10-22T05:51:25.746978
P5579563417,Saeed bin Ali Al Shamsi,M,1984-05-27,NID6777809389,,971546243464.0,,2025-10-22T05:51:25.746992
P6050762510,Hind bint Hassan Al Mazrouei,F,1974-01-23,NID0363103170,PA81113270,971595225433.0,,2025-10-22T05:51:25.747009
P6851917424,Ali bin Ahmed Al Suwaidi,M,1943-05-27,NID0380264455,PA11348738,,,2025-10-22T05:51:25.747024
P8210064248,Fahad bin Salem Al Qasimi,M,1967-05-22,NID7560447235,,,,2025-10-22T05:51:25.747037
P3849682762,Mariam bint Saeed Al Qasimi,F,1981-04-10,NID0458151534,,971542130460.0,,2025-10-22T05:51:25.747050
P1453614900,Salem bin Ahmed Al Nuaimi,M,2012-05-26,NID5241554608,,,,2025-10-22T05:51:25.747065
P6251800158,Noura bint Hassan Al Nahyan,F,1975-07-14,NID3872342346,,,,2025-10-22T05:51:25.747078
P3833549101,Saeed bin Ahmed Al Nahyan,M,1942-12-18,NID3220176417,,971532056363.0,,2025-10-22T05:51:25.747092
P8713347799,Maryam bint Salem Al Falasi,F,1972-08-19,NID4604579489,,971591097375.0,,2025-10-22T05:51:25.747105
P0641778780,Salem bin Salem Al Suwaidi,M,2022-07-26,NID1490359921,,971507958535.0,,2025-10-22T05:51:25.747122
P9300094773,Reem bint Hamad Al Shamsi,F,2012-09-01,NID0935346256,,,,2025-10-22T05:51:25.747138
P2699927706,Saeed bin Ali Al Shamsi,M,1977-05-04,NID9757686353,,971579749084.0,,2025-10-22T05:51:25.747152
P6901011997,Fatima bint Rashid Al Falasi,F,2001-07-06,NID5420994317,,971531283395.0,,2025-10-22T05:51:25.747165
P1591471210,Nasser bin Ali Al Falasi,M,1989-04-06,NID4954680567,,971531792722.0,,2025-10-22T05:51:25.747183
P7022099508,Mariam bint Fahad Al Marri,F,1994-05-18,NID6746027276,,971517125066.0,,2025-10-22T05:51:25.747200
P0880257550,Fahad bin Hassan Al Marri,M,2021-04-13,NID0514626740,,971525755256.0,,2025-10-22T05:51:25.747214
P5429213312,Hessa bint Rashid Al Qasimi,F,1967-12-18,NID5260724529,,971598485799.0,,2025-10-22T05:51:25.747227
P6409610738,Noura bint Rashid Al Mazrouei,F,1960-03-08,NID4038144956,PA66673195,971511429421.0,,2025-10-22T05:51:25.747247
P6503763787,Ahmed bin Sultan Al Marri,M,2017-12-10,NID3346661216,,,,2025-10-22T05:51:25.747260
P5178911397,Hind bint Salem Al Mansoori,F,1949-08-13,,,971538939193.0,,2025-10-22T05:51:25.747271
P4739005586,Khalid bin Hamad Al Mansoori,M,1999-07-12,NID0704821850,,971538593189.0,,2025-10-22T05:51:25.747296
P9138132567,Sara bint Hamad Al Nuaimi,F,2018-06-26,,,,,2025-10-22T05:51:25.747317
P0897040398,Hassan bin Khalid Al Mazrouei,M,1959-11-06,NID0829114993,PA73302276,971545818221.0,,2025-10-22T05:51:25.747342
P3471916398,Latifa bint Khalid Al Nahyan,F,1959-05-02,NID3245792877,,,,2025-10-22T05:51:25.747355
P8805756151,Rashid bin Ali Al Nahyan,M,1989-04-01,NID9280357462,,,,2025-10-22T05:51:25.747372
P5844149028,Fahad bin Saeed Al Shamsi,M,1955-09-20,NID5750251471,,971503216424.0,,2025-10-22T05:51:25.747386
P3715221790,Fahad bin Nasser Al Marri,M,2011-05-07,NID2129050497,PA06855594,971519675175.0,,2025-10-22T05:51:25.747404
P4458881219,Mariam bint Hamad Al Marri,F,1978-01-25,NID7342722816,,971572259074.0,,2025-10-22T05:51:25.747421
P6589254872,Hassan bin Hamad Al Qasimi,M,1997-11-12,NID0691073142,,971589692315.0,,2025-10-22T05:51:25.747435
P6410816785,Hind bint Salem Al Nahyan,F,1976-06-10,NID9071038957,,971508066358.0,,2025-10-22T05:51:25.747448
P2792009103,Hind bint Rashid Al Mansoori,F,1977-01-23,,PA02918202,971503330520.0,,2025-10-22T05:51:25.747469
P8355482346,Saeed bin Hassan Al Qasimi,M,1993-01-04,NID2950548512,,,,2025-10-22T05:51:25.747482
P6107910572,Rashid bin Sultan Al Mazrouei,M,1971-06-07,NID7841226645,PA64504254,,,2025-10-22T05:51:25.747497
P3586487302,Latifa bint Hamad Al Ketbi,F,1975-07-12,NID4851087601,,,,2025-10-22T05:51:25.747508
P3572129246,Hassan bin Sultan Al Ketbi,M,2005-10-25,NID0770804010,,,,2025-10-22T05:51:25.747523
P4452611654,Aisha bint Nasser Al Nahyan,F,1977-01-26,,,971542267424.0,,2025-10-22T05:51:25.747535
P0224686427,Nasser bin Hassan Al Mazrouei,M,1979-08-19,NID2641572076,,971545394989.0,,2025-10-22T05:51:25.747548
P0301912558,Amna bint Fahad Al Nuaimi,F,1941-12-12,NID8464517121,,971598579562.0,,2025-10-22T05:51:25.747565
P8530060820,Ahmed bin Salem Al Marri,M,2006-01-27,NID7390494624,PA72682972,971535761018.0,,2025-10-22T05:51:25.747582
P1197028079,Sara bint Fahad Al Qasimi,F,2004-11-13,NID2421956649,,,,2025-10-22T05:51:25.747593
P8815530477,Mohammed bin Salem Al Falasi,M,1991-10-10,,,,,2025-10-22T05:51:25.747608
P0820749452,Fatima bint Fahad Al Ketbi,F,2021-06-03,NID6044883399,,971535605404.0,,2025-10-22T05:51:25.747627
P4114691021,Khalid bin Sultan Al Maktoum,M,1982-02-14,,,,,2025-10-22T05:51:25.747636
P9538024711,Reem bint Saeed Al Balushi,F,2016-09-10,NID4022648808,PA72743426,971538755097.0,,2025-10-22T05:51:25.747653
P1700852765,Hind bint Hamad Al Falasi,F,1985-09-09,NID5375396666,,,,2025-10-22T05:51:25.747669
P8621615558,Latifa bint Khalid Al Ketbi,F,2015-02-21,NID7972867696,,,,2025-10-22T05:51:25.747682
P1294332417,Khalid bin Ali Al Ketbi,M,2019-01-13,NID6412900969,PA22515996,,,2025-10-22T05:51:25.747696
P1611121212,Fatima bint Hassan Al Maktoum,F,1947-12-25,NID6439953491,,971576915463.0,,2025-10-22T05:51:25.747709
P9313522551,Mariam bint Khalid Al Qasimi,F,2008-12-06,NID4791292418,,,,2025-10-22T05:51:25.747726
P9960257172,Hassan bin Ahmed Al Qasimi,M,1997-06-19,NID2808619425,,971596687224.0,,2025-10-22T05:51:25.747741
P9343636459,Maryam bint Ahmed Al Falasi,F,1941-07-22,NID2543598734,PA38673357,,,2025-10-22T05:51:25.747756
P2926207676,Hamad bin Nasser Al Mansoori,M,1972-11-20,NID8216416765,,,,2025-10-22T05:51:25.747769
P4460264235,Sara bint Rashid Al Qasimi,F,1943-03-15,NID9823500657,,971539030774.0,,2025-10-22T05:51:25.747786
P8488006409,Sultan bin Khalid Al Suwaidi,M,1947-12-03,NID7603764221,PA83440483,971559707729.0,,2025-10-22T05:51:25.747802
P4063293496,Sara bint Sultan Al Qasimi,F,1988-03-02,NID0731865697,PA34275548,971528766581.0,,2025-10-22T05:51:25.747818
P3024479956,Fatima bint Saeed Al Maktoum,F,1963-12-21,NID1618944317,PA38703003,971591618196.0,,2025-10-22T05:51:25.747840
P6621339255,Khalid bin Rashid Al Mazrouei,M,1964-03-06,NID5623430534,,,,2025-10-22T05:51:25.747853
P1510578082,Fatima bint Sultan Al Marri,F,2008-04-10,NID9697978516,,,,2025-10-22T05:51:25.747868
P2497173725,Rashid bin Hassan Al Falasi,M,1956-03-14,NID0927924366,PA97313966,,,2025-10-22T05:51:25.747883
P8872541025,Hessa bint Sultan Al Mansoori,F,1998-06-24,NID3960677167,,971532492895.0,,2025-10-22T05:51:25.747896
P4919112594,Aisha bint Khalid Al Marri,F,2014-12-10,,PA53030398,,,2025-10-22T05:51:25.747915
P2507397909,Mohammed bin Hassan Al Maktoum,M,1966-09-20,NID1451814999,PA71332513,,,2025-10-22T05:51:25.747930
P6030487138,Fatima bint Sultan Al Mansoori,F,1960-11-15,NID2518292039,,971563193766.0,,2025-10-22T05:51:25.747944
P0961493782,Hessa bint Rashid Al Ketbi,F,1960-04-24,NID0749114747,,971513547840.0,,2025-10-22T05:51:25.747957
P7068682352,Mohammed bin Rashid Al Marri,M,1987-07-20,NID6680569005,PA71614542,971504235859.0,,2025-10-22T05:51:25.747973
P2326942227,Hessa bint Hassan Al Mazrouei,F,1965-02-14,NID5174776484,,,,2025-10-22T05:51:25.747985
P5887005296,Fahad bin Hassan Al Nuaimi,M,2004-09-27,NID6523425830,,971507431602.0,,2025-10-22T05:51:25.748001
P8417667700,Amna bint Fahad Al Balushi,F,1941-10-19,NID2327743951,,971593333091.0,,2025-10-22T05:51:25.748014
P0611764663,Mohammed bin Rashid Al Mansoori,M,1972-01-21,NID2515839291,,,,2025-10-22T05:51:25.748027
P6239376890,Noura bint Salem Al Nuaimi,F,1957-01-06,NID1971367843,,971589337643.0,,2025-10-22T05:51:25.748040
P1029894270,Nasser bin Khalid Al Nahyan,M,1968-03-10,NID4224046808,,,,2025-10-22T05:51:25.748056
P7757652377,Fatima bint Mohammed Al Maktoum,F,1967-12-08,NID3206942028,,971503717313.0,,2025-10-22T05:51:25.748073
P5516644674,Hamad bin Rashid Al Nuaimi,M,1955-04-17,,,971511760677.0,,2025-10-22T05:51:25.748084
P7064763626,Hind bint Ahmed Al Suwaidi,F,2015-05-03,NID7306726037,,,,2025-10-22T05:51:25.748096
P7303560305,Khalid bin Salem Al Falasi,M,2020-12-28,,,,,2025-10-22T05:51:25.748109
P9149473497,Sara bint Mohammed Al Nuaimi,F,1990-12-13,NID0711632777,,,,2025-10-22T05:51:25.748125
P0429521742,Rashid bin Ali Al Maktoum,M,2003-05-19,NID3164942310,PA12311677,971579791661.0,,2025-10-22T05:51:25.748142
P1828561505,Amna bint Rashid Al Falasi,F,1986-10-18,NID8942100772,PA11372742,,,2025-10-22T05:51:25.748156
P5992688855,Hind bint Khalid Al Nahyan,F,1964-04-26,NID3168383278,,971512454055.0,,2025-10-22T05:51:25.748177
P5067806987,Saeed bin Fahad Al Shamsi,M,2004-04-09,NID8785143901,,971578209487.0,,2025-10-22T05:51:25.748199
P7608866545,Hessa bint Sultan Al Nahyan,F,1985-01-11,NID1103548310,,971518856570.0,,2025-10-22T05:51:25.748220
P0033608386,Maha bint Mohammed Al Mansoori,F,1940-09-20,,,971508551097.0,,2025-10-22T05:51:25.748243
P9238784775,Ali bin Hassan Al Marri,M,2021-02-03,NID1924739995,,,,2025-10-22T05:51:25.748266
P4620821553,Sara bint Nasser Al Nuaimi,F,1994-05-25,NID0196382221,,971523054893.0,,2025-10-22T05:51:25.748280
P1368251765,Maryam bint Fahad Al Maktoum,F,1987-07-10,NID3219578773,,971555963237.0,,2025-10-22T05:51:25.748299
P9719334208,Sultan bin Saeed Al Nahyan,M,1985-02-10,NID3937288327,,971598745253.0,,2025-10-22T05:51:25.748315
P1617367973,Latifa bint Saeed Al Marri,F,1966-09-07,,,,,2025-10-22T05:51:25.748325
P9171893651,Fatima bint Khalid Al Shamsi,F,1982-08-01,NID5755589165,,,,2025-10-22T05:51:25.748338
P0500037654,Nasser bin Fahad Al Mazrouei,M,2010-04-20,,,971574663561.0,,2025-10-22T05:51:25.748349
P7109548680,Hind bint Saeed Al Nahyan,F,1981-11-09,NID0861617333,,971543420941.0,,2025-10-22T05:51:25.748363
P9539461678,Mariam bint Khalid Al Qasimi,F,2003-11-21,NID3458771701,,,,2025-10-22T05:51:25.748375
P7932586635,Fahad bin Ali Al Shamsi,M,1999-04-02,NID0295389157,,971572017431.0,,2025-10-22T05:51:25.748389
P6618260212,Sara bint Fahad Al Maktoum,F,1971-02-24,,PA13567249,971585632231.0,,2025-10-22T05:51:25.748402
P0265054325,Fahad bin Sultan Al Maktoum,M,1966-08-14,NID8643230629,PA01044345,971595942657.0,,2025-10-22T05:51:25.748422
P7785963067,Reem bint Nasser Al Suwaidi,F,1952-09-13,NID0959418317,,,,2025-10-22T05:51:25.748435
P2366355398,Nasser bin Hamad Al Ketbi,M,1961-04-12,NID1011831134,,,,2025-10-22T05:51:25.748448
P3030385316,Hind bint Fahad Al Qasimi,F,1996-05-21,NID7415479087,,971525897799.0,,2025-10-22T05:51:25.748464
P1292597966,Ahmed bin Nasser Al Mansoori,M,2013-10-15,NID6669448639,,971549488290.0,,2025-10-22T05:51:25.748478
P7457222846,Maha bint Hamad Al Ketbi,F,1996-05-25,NID8556707909,,971569630259.0,,2025-10-22T05:51:25.748492
P0509641914,Hassan bin Nasser Al Mansoori,M,2012-10-27,NID1666169053,PA28475023,,,2025-10-22T05:51:25.748511
P4400221631,Hessa bint Ahmed Al Mansoori,F,1996-06-23,NID3726845708,,,,2025-10-22T05:51:25.748526
P9468454308,Khalid bin Ahmed Al Balushi,M,1994-11-19,NID9581529890,PA20865676,971529926372.0,,2025-10-22T05:51:25.748543
P8211106389,Hessa bint Fahad Al Nuaimi,F,2016-03-24,,,,,2025-10-22T05:51:25.748551
P4346750422,Noura bint Hamad Al Nuaimi,F,2018-07-27,NID7098059840,PA54129975,,,2025-10-22T05:51:25.748572
P3134061786,Ali bin Mohammed Al Mansoori,M,1997-09-27,NID8572073994,,,,2025-10-22T05:51:25.748585
P9164000458,Sara bint Ahmed Al Shamsi,F,1976-11-20,NID8485945152,,,,2025-10-22T05:51:25.748596
P7481122383,Aisha bint Fahad Al Marri,F,2002-11-04,NID7872829258,,971545757891.0,,2025-10-22T05:51:25.748615
P0934483297,Rashid bin Rashid Al Qasimi,M,1967-03-17,NID8788563280,,971502761387.0,,2025-10-22T05:51:25.748629
P0940190242,Hessa bint Mohammed Al Ketbi,F,1993-11-19,NID4417563011,,971549879558.0,,2025-10-22T05:51:25.748645
P0020375801,Ali bin Hassan Al Mazrouei,M,1999-08-23,NID5448510872,PA22710627,,,2025-10-22T05:51:25.748660
P6002953991,Hind bint Hassan Al Shamsi,F,1949-09-17,NID1947956214,PA65681489,971547908544.0,,2025-10-22T05:51:25.748676
P9038945995,Amna bint Ali Al Falasi,F,2003-06-07,NID7913951492,,,,2025-10-22T05:51:25.748693
P5587965738,Rashid bin Nasser Al Nuaimi,M,2003-04-20,NID7879156845,PA86462582,971564954315.0,,2025-10-22T05:51:25.748710
P9689695322,Latifa bint Hamad Al Maktoum,F,2007-11-10,,,,,2025-10-22T05:51:25.748720
P1596566484,Salem bin Rashid Al Marri,M,1981-09-25,NID8077223218,,971594116428.0,,2025-10-22T05:51:25.748734
P4531598728,Hind bint Saeed Al Qasimi,F,1991-11-01,,,,,2025-10-22T05:51:25.748744
P9524211721,Aisha bint Rashid Al Balushi,F,1967-10-16,NID3914963622,,971533532574.0,,2025-10-22T05:51:25.748757
P2025024453,Sultan bin Rashid Al Mazrouei,M,2012-03-26,NID9709123564,PA91630595,971538451110.0,,2025-10-22T05:51:25.748774
P4371177336,Mariam bint Mohammed Al Mansoori,F,1955-03-23,NID4142209819,PA22187964,971555866402.0,,2025-10-22T05:51:25.748789
P8723112136,Ali bin Hamad Al Suwaidi,M,1980-06-21,NID6221637200,,,,2025-10-22T05:51:25.748805
P1298568947,Aisha bint Hassan Al Marri,F,2000-02-04,NID9109706000,,,,2025-10-22T05:51:25.748818
P8353853474,Saeed bin Ahmed Al Mansoori,M,1954-09-05,NID0401183713,,,,2025-10-22T05:51:25.748830
P9088240392,Sara bint Khalid Al Falasi,F,1956-01-22,,,971588194379.0,,2025-10-22T05:51:25.748840
P5358730619,Khalid bin Rashid Al Suwaidi,M,1985-03-16,NID7091902256,,971597337151.0,,2025-10-22T05:51:25.748856
P9280056540,Hessa bint Khalid Al Nuaimi,F,1970-11-24,NID0069710853,,971554988158.0,,2025-10-22T05:51:25.748873
P4539604309,Hassan bin Mohammed Al Mansoori,M,1944-12-26,NID1130282818,,,,2025-10-22T05:51:25.748885
P2672145242,Fatima bint Mohammed Al Nuaimi,F,1984-06-14,,,,,2025-10-22T05:51:25.748898
P6510020330,Ali bin Nasser Al Nuaimi,M,1954-03-18,,PA77556106,,,2025-10-22T05:51:25.748910
P4270602341,Sara bint Khalid Al Suwaidi,F,2019-04-18,NID7061388768,,971507100694.0,,2025-10-22T05:51:25.748923
P0438923122,Aisha bint Sultan Al Falasi,F,1985-02-22,NID1203564418,,971557388022.0,,2025-10-22T05:51:25.748941
